#header info#
48	#latitude; used for cacluating drought index in model bugmann#
1832	#meter a.s.l. #

#temperature laps rate with increasing altitude: #
-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50

#precipitation	laps	rate	with	increasing	altitude:	#
4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0

100	#meter:	corrections	(see	above)	every	x	meter.	#

#	mean	monthly	temperature	C								total	monthly	precipitation		mm		#
#	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	#
1970 -3.5 -7.9 -6.6 -3 1.6 8.8 8.5 9.8 7.9 3.7 1.2 -4.8 104.1 403.2 208.2 243.3 159.7 194.5 187.1 361.5 149.6 125.4 91.7 122.9
2007.4.2 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
1996.1.2 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1980 -6 -3.1 -3 -3.3 2.1 5.5 7.2 10.3 8.3 2.1 -1.9 -5.5 161 122.9 147.5 426.6 92.3 204.1 176.3 127.8 139.9 129.3 121.1 141.2
1964 -3.6 -4.2 -3.6 1.3 5.3 9.1 10.6 8.5 7.8 1.2 -0.2 -3.1 6.3 54.5 60.8 72.8 111.4 116.5 63 162.5 34.3 90 35.3 25.6
1983.1 -2.2 -7.5 -1.9 1.7 3.8 8.3 14.2 10.3 8.1 4.2 0.4 -2.3 157.7 119 79.5 92 91 198.8 90.9 214.8 115 55.6 123.9 101.7
1958 -3.9 -2.5 -6.6 -2.3 8.3 7 10.3 11.3 9.4 4 1.5 -2.3 138.4 319.4 223 235.4 139.1 434.9 220.9 208.6 209.1 331.7 89.9 145.9
1964.1 -3.6 -4.2 -3.6 1.3 5.3 9.1 10.6 8.5 7.8 1.2 -0.2 -3.1 6.3 54.5 60.8 72.8 111.4 116.5 63 162.5 34.3 90 35.3 25.6
1967.1 -5.8 -3.9 -2.7 -1.8 4.3 6.4 11.3 9.4 7.2 7.1 1.5 -6.3 304.2 143 348 223.8 185.7 266.2 195.1 176.9 134.4 75.3 50.6 170.9
1988.1 -1.4 -5.6 -5.8 1.3 6.6 6.7 10.6 10.5 6.5 6.8 -2.7 -3.8 100.1 235.6 342 53.5 112.6 131.9 186.5 228.4 100.7 79 169 248.5
1996 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1990.1 -1.2 0.6 0.6 -1.2 6 7 9.3 11 4.8 6.7 -2.1 -5.4 21.8 125.9 82 130.5 60.5 177.5 203.8 109 160.6 116.6 119.6 115
1965 -4.9 -10.9 -3.5 -2.3 2 8.1 7.9 7.9 6.4 6.8 -2.4 -4 30.3 92.4 18.8 483.9 375 218.6 197.4 131.1 148.3 8.9 151.5 285.6
1988.2 -1.4 -5.6 -5.8 1.3 6.6 6.7 10.6 10.5 6.5 6.8 -2.7 -3.8 100.1 235.6 342 53.5 112.6 131.9 186.5 228.4 100.7 79 169 248.5
1983 -2.2 -7.5 -1.9 1.7 3.8 8.3 14.2 10.3 8.1 4.2 0.4 -2.3 157.7 119 79.5 92 91 198.8 90.9 214.8 115 55.6 123.9 101.7
2002.3 -2.5 -1.4 -0.1 0 6.5 11.1 10.3 10.3 4.9 3.5 1.2 -1.5 48.5 199.3 220.5 85.6 70.5 81.2 148.5 342.3 292.3 123.2 223.6 160.4
1980.1 -6 -3.1 -3 -3.3 2.1 5.5 7.2 10.3 8.3 2.1 -1.9 -5.5 161 122.9 147.5 426.6 92.3 204.1 176.3 127.8 139.9 129.3 121.1 141.2
2000.1 -5.6 -3.5 -3.1 2.9 6.8 10.1 7 11.9 8.3 5.2 0.7 -0.4 130.8 145.6 455.8 36.6 163.2 217.2 231.8 140.4 160.5 147.2 59.1 105.2
1983.1.1 -2.2 -7.5 -1.9 1.7 3.8 8.3 14.2 10.3 8.1 4.2 0.4 -2.3 157.7 119 79.5 92 91 198.8 90.9 214.8 115 55.6 123.9 101.7
1996.1.3 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1990.2 -1.2 0.6 0.6 -1.2 6 7 9.3 11 4.8 6.7 -2.1 -5.4 21.8 125.9 82 130.5 60.5 177.5 203.8 109 160.6 116.6 119.6 115
1952.1 -6 -7.5 -2.2 3.5 4.3 8.8 12.9 12 3.9 1.8 -3.3 -4.2 194 278.1 379.6 83.2 203.6 218.7 106.2 170.9 205.4 301.1 393.5 202.3
2004.2.1 -6.9 -4.7 -2.8 0.9 2.8 7.4 9.6 11 7.4 6.7 -1.7 -1.2 297.2 183.6 235.4 81 157.9 241.4 174.5 111.3 140.5 60.2 143.4 88.3
2007.3 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
1970.1 -3.5 -7.9 -6.6 -3 1.6 8.8 8.5 9.8 7.9 3.7 1.2 -4.8 104.1 403.2 208.2 243.3 159.7 194.5 187.1 361.5 149.6 125.4 91.7 122.9
1996.1.4 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1981 -8 -6.8 0.4 1.6 4.7 7.8 8.2 9.5 7.6 2.5 -2.6 -6.5 286.8 105.8 120.2 32.2 114.2 75.5 295.7 177.5 131.1 183.5 217.2 288.3
1969 -3.2 -8.1 -2.9 -0.4 6.4 5.2 10.1 7.8 8.7 6.9 -1.2 -7.8 157.7 155.5 88 157.4 87.6 189.1 110.6 243.2 43.4 24.4 223.9 175.9
1997.1 0.1 -1.4 -0.7 -3 5.1 8.1 8.3 11.3 9.6 2.6 0.8 -3.2 6.3 94.9 167.9 161.5 70.6 165 326.9 159.6 79.2 135 84.5 205.6
1982.1 -3.4 -4.2 -3.3 -2.7 5 8.6 11.5 9.6 10.7 4.3 2 -3.1 166.4 47.1 155.7 129.8 123.1 236.6 208.8 166.4 70 65.9 58.6 118.5
