decade, abiealba, piceabie, fagusilv, elevation, area
0, 1251.56, 995.556, 1320.89, 736, 0.5625
0, 1217.33, 945.333, 1336, 737, 0.75
0, 1139.56, 1114.67, 1221.33, 738, 0.5625
0, 1329.78, 896, 1573.33, 739, 0.5625
0, 1596, 897.333, 1326.67, 740, 0.75
0, 1089.6, 1116.8, 1443.2, 741, 0.625
0, 1525.33, 1032.89, 1173.33, 742, 0.5625
0, 1248, 1012.36, 1252.36, 743, 0.6875
0, 1045, 1371, 1153, 744, 1
0, 1092.8, 1017.6, 1809.6, 745, 0.625
0, 1459.2, 859.2, 1177.6, 746, 0.625
0, 1353.33, 961.333, 1173.33, 747, 0.75
0, 1360, 930.286, 1053.71, 748, 0.4375
0, 1353.14, 942.857, 1505.14, 749, 0.875
0, 1331.43, 788.571, 1308.57, 750, 0.875
0, 1308.8, 950.4, 1328, 751, 0.625
0, 1264, 1144, 1252.44, 752, 1.125
0, 1605.33, 956, 1037.33, 753, 0.75
0, 997.333, 1235.56, 1368.89, 754, 0.5625
0, 1232, 1072, 1243.64, 755, 0.6875
0, 1395.43, 777.143, 1254.86, 756, 0.875
0, 1366.86, 1001.14, 989.714, 757, 0.4375
0, 1347.2, 1064, 1214.4, 758, 0.625
0, 1308.31, 1038.77, 1121.23, 759, 0.8125
0, 1563.64, 698.182, 1584, 760, 0.6875
0, 1626.29, 764.571, 1166.86, 761, 0.875
0, 1490.46, 829.538, 1136, 762, 0.8125
0, 1421.33, 845.333, 1245.33, 763, 0.375
0, 1210, 1300, 1020, 764, 0.5
0, 1320.53, 1107.2, 1218.13, 765, 0.9375
0, 1464, 1035.2, 1220.8, 766, 0.625
0, 1045.33, 718.222, 1619.56, 767, 0.5625
0, 1400, 872, 1262.67, 768, 0.75
0, 1426.29, 998.857, 946.286, 769, 0.4375
0, 1480, 998, 1166, 770, 0.5
0, 1244.31, 1209.85, 924.308, 771, 0.8125
0, 1456, 1134.22, 1009.78, 772, 0.5625
0, 1207.47, 1230.93, 1060.27, 773, 0.9375
0, 1480, 909.333, 1210.67, 774, 0.75
0, 1234, 1072, 1378, 775, 0.5
0, 1069.71, 1163.43, 1229.71, 776, 0.4375
0, 1168, 1120, 1180.8, 777, 0.625
0, 1383.11, 949.333, 1036.44, 778, 0.5625
0, 1384.89, 748.444, 1427.56, 779, 0.5625
0, 1129.33, 1050.67, 1394.67, 780, 0.75
0, 1235.2, 1104, 1155.2, 781, 1.25
0, 1305.6, 955.2, 1392, 782, 0.625
0, 1236.8, 1176, 928, 783, 0.625
0, 1268, 1154, 977, 784, 1
0, 1504, 867.2, 1160, 785, 0.625
0, 1696, 979.2, 918.4, 786, 0.3125
0, 1335.38, 867.692, 1291.08, 787, 0.8125
0, 1497.6, 1043.2, 1160, 788, 0.625
0, 1432, 955.2, 1131.2, 789, 0.625
0, 1230.77, 966.154, 1334.15, 790, 0.8125
0, 1243.64, 837.818, 1492.36, 791, 0.6875
0, 1537.14, 801.143, 1221.71, 792, 0.875
0, 1354.67, 927.111, 1117.33, 793, 1.125
0, 1345.33, 1170.67, 973.333, 794, 0.75
0, 1608.62, 1060.92, 1158.15, 795, 0.8125
0, 1422.55, 1089.45, 1202.91, 796, 0.6875
0, 1224, 1253.33, 890.667, 797, 0.375
0, 1621.33, 1011.2, 980.267, 798, 0.9375
0, 1384.89, 791.111, 1600, 799, 0.5625
0, 1424, 748.571, 1308.57, 800, 0.875
0, 1333.71, 1019.43, 1110.86, 801, 0.875
0, 1645.33, 1261.33, 597.333, 802, 0.375
0, 1459.2, 860.8, 1243.2, 803, 0.625
0, 1345.33, 1010.67, 1277.33, 804, 0.75
0, 1392, 929.778, 1155.56, 805, 0.5625
0, 1571.2, 851.2, 1217.07, 806, 0.9375
0, 1123.69, 1246.77, 1116.31, 807, 0.8125
0, 1283.2, 1065.6, 1384, 808, 0.625
0, 1400, 1032, 1222.4, 809, 0.625
0, 1348, 946.667, 1470.67, 810, 0.75
0, 1300.92, 1106.46, 1079.38, 811, 0.8125
0, 1357.71, 1168, 1081.14, 812, 0.4375
0, 1555.56, 935.111, 1137.78, 813, 0.5625
0, 1440, 888, 1170.29, 814, 0.875
0, 1469.87, 955.733, 1195.73, 815, 0.9375
0, 1445.82, 910.545, 1146.18, 816, 0.6875
0, 1292.8, 832, 1232, 817, 0.625
0, 770.286, 1142.86, 1554.29, 818, 0.4375
0, 1420, 893, 1245, 819, 1
0, 1268.36, 1128.73, 1218.91, 820, 0.6875
0, 1420, 750.667, 1464, 821, 0.75
0, 1108.92, 1027.69, 1355.08, 822, 0.8125
0, 1271.11, 1123.56, 1219.56, 823, 0.5625
0, 1638.4, 697.6, 1280, 824, 0.3125
0, 1552, 852.923, 1227.08, 825, 0.8125
0, 1486.67, 1092, 1024, 826, 0.75
0, 1364.57, 930.286, 1177.14, 827, 0.4375
0, 1745.88, 783.059, 1226.35, 828, 1.0625
0, 1213.87, 970.667, 1293.87, 829, 0.9375
0, 1490.91, 1109.82, 1147.64, 830, 0.6875
0, 1218.13, 1044.27, 1472, 831, 0.9375
0, 1032, 1098, 1354, 832, 0.5
0, 1228, 1076, 1410, 833, 0.5
0, 1356.44, 997.333, 1061.33, 834, 0.5625
0, 1312, 1083.2, 1336, 835, 0.625
0, 886.154, 1234.46, 1550.77, 836, 0.8125
0, 1412.57, 752, 1597.71, 837, 0.4375
0, 1572.8, 920, 1358.4, 838, 0.625
0, 1092.92, 1416.62, 1284.92, 839, 0.8125
0, 1233.33, 1086.67, 1273.33, 840, 0.75
0, 1478, 904, 1371, 841, 1
0, 1075.69, 1536, 1251.69, 842, 0.8125
0, 1505.45, 1054.55, 1269.82, 843, 0.6875
0, 1404.8, 1313.6, 1012.8, 844, 0.625
0, 1274.67, 1158.67, 1324, 845, 0.75
0, 1152, 1358, 1460, 846, 0.5
0, 1876.8, 932.8, 1012.8, 847, 0.625
0, 1395.69, 1079.38, 1350.15, 848, 0.8125
0, 1313.33, 1337.33, 1209.33, 849, 0.75
0, 1403.29, 1199.06, 1224.47, 850, 1.0625
0, 1522.67, 962.667, 1328, 851, 0.375
0, 1162.67, 1300, 1337.33, 852, 0.75
0, 1302, 1322, 1022, 853, 0.5
0, 1173.33, 1288, 1117.33, 854, 0.75
0, 1172.36, 1418.18, 1111.27, 855, 0.6875
0, 1434.67, 902.667, 1258.67, 856, 0.75
0, 1526.59, 959.059, 1267.76, 857, 1.0625
0, 844.8, 1427.2, 1440, 858, 0.625
0, 1424, 1250, 984, 859, 0.5
0, 1489.33, 921.333, 1437.33, 860, 0.75
0, 1452.57, 1004.57, 1372.57, 861, 0.875
