decade, abiealba, piceabie, fagusilv, elevation, area
0, 17.1484, 12.082, 26.8657, 721, 0.6875
0, 18.5288, 12.9794, 26.4133, 722, 0.8125
0, 15.8092, 17.0546, 24.2735, 723, 0.375
0, 21.3695, 12.9454, 24.121, 724, 0.8125
0, 22.062, 14.4208, 22.8902, 725, 0.4375
0, 14.8755, 18.7463, 20.4508, 726, 1
0, 26.5976, 10.4702, 23.3179, 727, 0.5625
0, 16.7161, 19.4422, 21.4304, 728, 0.6875
0, 24.8599, 11.6756, 22.2647, 729, 0.6875
0, 18.7625, 14.5822, 22.2947, 730, 0.6875
0, 24.3752, 10.7026, 21.5607, 731, 0.625
0, 22.1353, 16.2606, 16.7606, 732, 0.9375
0, 18.2502, 18.1133, 20.8762, 733, 0.625
0, 25.2549, 10.3088, 21.299, 734, 0.625
0, 20.7012, 18.0221, 18.0342, 735, 1.0625
0, 18.5833, 14.7788, 21.9412, 736, 0.5625
0, 18.082, 13.9835, 22.082, 737, 0.75
0, 16.9213, 16.5868, 20.4584, 738, 0.5625
0, 19.953, 13.3304, 26.5956, 739, 0.5625
0, 24.0368, 13.4226, 22.2944, 740, 0.75
0, 16.442, 16.6953, 24.3368, 741, 0.625
0, 23.1436, 15.3306, 19.4692, 742, 0.5625
0, 18.4723, 14.7915, 20.9071, 743, 0.6875
0, 15.6957, 20.462, 19.2346, 744, 1
0, 16.7196, 15.118, 30.4232, 745, 0.625
0, 21.86, 12.7879, 19.7007, 746, 0.625
0, 20.4552, 14.2513, 19.2586, 747, 0.75
0, 20.223, 13.6895, 17.3518, 748, 0.4375
0, 20.452, 13.8908, 25.233, 749, 0.875
0, 19.7367, 11.3863, 21.9079, 750, 0.875
0, 19.6968, 14.0579, 22.3769, 751, 0.625
0, 19.0071, 16.9664, 20.9985, 752, 1.125
0, 24.4642, 14.1862, 17.3613, 753, 0.75
0, 14.891, 18.2582, 22.7719, 754, 0.5625
0, 18.4371, 15.8182, 20.7874, 755, 0.6875
0, 20.801, 11.5583, 20.7907, 756, 0.875
0, 20.2846, 14.3663, 15.6501, 757, 0.4375
0, 20.2514, 15.7434, 20.4456, 758, 0.625
0, 19.6723, 15.2126, 18.7014, 759, 0.8125
0, 24.1213, 10.4889, 27.1692, 760, 0.6875
0, 24.5255, 11.1233, 19.2578, 761, 0.875
0, 22.1095, 12.0722, 18.5663, 762, 0.8125
0, 21.3832, 12.3924, 20.7962, 763, 0.375
0, 18.0951, 19.2986, 16.974, 764, 0.5
0, 19.9626, 16.436, 20.3921, 765, 0.9375
0, 22.3674, 15.3726, 20.5681, 766, 0.625
0, 15.7638, 10.6414, 26.5261, 767, 0.5625
0, 20.9224, 12.6141, 20.6988, 768, 0.75
0, 21.2415, 14.5894, 15.1669, 769, 0.4375
0, 22.48, 14.8678, 19.8576, 770, 0.5
0, 18.7137, 17.6982, 15.0519, 771, 0.8125
0, 21.8682, 16.7122, 17.0318, 772, 0.5625
0, 18.0869, 18.1041, 17.6319, 773, 0.9375
0, 22.3492, 13.3682, 19.8463, 774, 0.75
0, 18.9008, 15.6676, 22.6993, 775, 0.5
0, 15.4681, 16.8893, 19.8015, 776, 0.4375
0, 17.5024, 16.2777, 19.2475, 777, 0.625
0, 20.9381, 13.9042, 17.0448, 778, 0.5625
0, 20.3957, 10.8984, 23.3051, 779, 0.5625
0, 16.9412, 15.4788, 23.5406, 780, 0.75
0, 18.6581, 16.1927, 18.9919, 781, 1.25
0, 19.8946, 14.0357, 23.1445, 782, 0.625
0, 18.2266, 17.0538, 14.7827, 783, 0.625
0, 18.7342, 16.7992, 16.0225, 784, 1
0, 22.765, 12.8234, 19.1193, 785, 0.625
0, 25.7438, 14.3235, 15.4066, 786, 0.3125
0, 20.159, 12.7839, 21.6434, 787, 0.8125
0, 22.6288, 15.2903, 19.0307, 788, 0.625
0, 21.4984, 13.9712, 18.6186, 789, 0.625
0, 18.4757, 14.3071, 22.511, 790, 0.8125
0, 18.9921, 12.3661, 24.8788, 791, 0.6875
0, 23.2724, 11.7867, 20.1893, 792, 0.875
0, 20.2074, 13.4297, 18.1443, 793, 1.125
0, 20.1022, 17.3287, 16.1651, 794, 0.75
0, 24.3127, 15.6681, 19.4446, 795, 0.8125
0, 21.665, 16.1553, 20.2265, 796, 0.6875
0, 17.7538, 18.4534, 14.1204, 797, 0.375
0, 24.5903, 14.8155, 16.2766, 798, 0.9375
0, 20.9091, 11.5597, 26.2314, 799, 0.5625
0, 21.8522, 11.0607, 21.6526, 800, 0.875
0, 19.915, 14.8945, 18.0448, 801, 0.875
