year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
123, 2, 2, 740, 0.0206291, 0.0206291, 1605.95, 1504.35, -2.05, 53.8432, 54.8666, 158.23
124, 2, 2, 740, 0.00695186, 0.00695186, 1630.06, 1423.91, 2.75, 57.6743, 58.0449, 152.76
125, 2, 2, 740, 0.224316, 0.261702, 2043.26, 1845.12, -1.25, 46.0718, 60.2127, 83.73
126, 2, 2, 740, 0.0204383, 0.0204383, 1545.06, 1443.07, -0.75, 53.8628, 54.9606, 103.86
127, 2, 2, 740, 0.140154, 0.140154, 1677.49, 1592.64, -3.05, 48.4215, 55.7063, 92.75
128, 2, 2, 740, 0.163774, 0.191069, 1905.83, 1735.81, -0.95, 44.2401, 57.3787, 140.23
129, 2, 2, 740, 1.55344e-08, 1.55344e-08, 1673.43, 1531.8, 1.95, 58.3415, 58.3415, 142.81
130, 2, 2, 740, 0.0388225, 0.0388225, 1576.59, 1429.91, 0.65, 54.2185, 56.0029, 103.31
131, 2, 2, 740, 0.214141, 0.244733, 1740.85, 1633.2, -0.75, 44.8637, 56.2392, 74.97
132, 2, 2, 740, 0.0846342, 0.0846342, 1443.21, 1384.18, -2.55, 47.1309, 52.8333, 84.23
133, 2, 2, 740, 0.153682, 0.175637, 1930.43, 1658.76, 0.55, 52.3099, 59.5578, 111.85
134, 2, 2, 740, 1.09021e-08, 1.17812e-08, 1735.66, 1559.05, -4.35, 57.1928, 57.1928, 164.64
135, 2, 2, 740, 0.754084, 0.99865, 5795.29, 3555.16, 6.32, 8, 102.302, 0
136, 2, 2, 740, 0.120767, 0.120767, 1490.6, 1398.47, -1.65, 49.5745, 54.5044, 140.47
137, 2, 2, 740, 0.273736, 0.273736, 1901.45, 1804.38, -3.45, 45.1341, 58.2329, 119.93
138, 2, 2, 740, 7.79383e-09, 9.8309e-09, 1544.76, 1297.7, -0.45, 56.7202, 56.7202, 143.24
139, 2, 2, 740, 0.262045, 0.262045, 1699.33, 1619.74, 0.25, 40.7636, 55.5704, 84.94
140, 2, 2, 740, 0.0837458, 0.0837458, 1608.15, 1515.15, -2.75, 51.1703, 55.2388, 160.24
141, 2, 2, 740, 0.0237253, 0.0237253, 1472.77, 1332.51, -0.25, 52.5792, 53.6855, 128.84
142, 2, 2, 740, 0.285548, 0.285548, 1485.55, 1419.01, -1.75, 36.1713, 53.7754, 169.2
143, 2, 2, 740, 0.0892876, 0.0759426, 1674.21, 1437.43, -2.05, 52.9189, 56.9214, 89.2
144, 2, 2, 740, 0.000994208, 0.000994208, 1269.93, 1138.82, -4.15, 52.4625, 52.5014, 148.14
145, 2, 2, 740, 0.0479194, 0.0479194, 1313.89, 1194.49, -1.85, 50.8612, 52.6116, 133.56
146, 2, 2, 740, 1.10829e-08, 1.10829e-08, 1243.55, 1180.3, -9.95, 51.1394, 51.1394, 153.64
147, 2, 2, 740, 1.13202e-08, 1.32069e-08, 1419.54, 1228.23, 0.65, 55.1883, 55.1883, 127.88
148, 2, 2, 740, 6.27288e-09, 6.27288e-09, 1525.61, 1410.37, -1.55, 53.5614, 53.5614, 169.74
149, 2, 2, 740, 0.214861, 0.214861, 1723.81, 1521.23, -0.35, 49.6449, 58.1516, 102.87
150, 2, 2, 740, 9.69213e-09, 9.69213e-09, 1349.2, 1232.51, -0.65, 53.6136, 53.6136, 169.09
151, 2, 2, 740, 1.30511e-08, 1.30511e-08, 1645.56, 1458.11, 0.25, 56.6682, 56.6682, 185.65
152, 2, 2, 740, 0.14257, 0.14257, 1281.48, 1234.84, -2.05, 43.9058, 50.0184, 134.67
153, 2, 2, 740, 0.0227378, 0.0259861, 1425.3, 1322.13, -5.75, 52.1557, 53.6931, 146.96
