row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445993,5379484,1,730,fagusilv,110,3.5034,5,0,69.5896,32.8206,0.5249,0.9137,3.9059,0.0000,0.0886,0.8394,0.6963,23.5534
0,1,1,3446018,5379484,1,731,fagusilv,250,19.4409,1,0,162.6678,42.7898,0.5793,0.9299,3.3085,0.0000,0.0193,0.9674,0.6958,1.4676
0,2,2,3446043,5379484,1,731,fagusilv,40,0.1895,92,0,20.3335,14.9486,0.2312,0.6355,8.8751,0.0000,0.0427,0.9261,0.6958,5.2523
0,3,3,3446068,5379484,1,728,abiealba,40,0.0547,45,4,14.1506,11.6647,0.0413,0.0658,8.0363,0.0000,0.0525,0.9014,0.7285,4.5881
0,3,3,3446068,5379484,1,728,fagusilv,120,7.3624,1,0,98.7692,37.8671,0.7916,0.9811,8.0363,0.0000,0.0525,0.9083,0.6971,4.5881
0,3,3,3446068,5379484,1,728,fagusilv,40,0.1889,43,0,20.3085,14.9348,0.2487,0.6639,8.0363,0.0000,0.0525,0.9083,0.6971,4.5881
0,4,4,3446093,5379484,1,723,fagusilv,250,19.6376,1,0,163.5605,42.8257,0.5764,0.9288,4.4681,0.0000,0.0237,0.9598,0.6993,0.5682
0,4,4,3446093,5379484,1,723,fagusilv,130,5.5764,1,0,86.4062,36.0523,0.1563,0.4473,4.4681,0.0000,0.0237,0.9598,0.6993,0.5682
0,5,5,3446118,5379484,1,716,abiealba,20,0.0369,80,0,12.1986,10.3599,0.1293,0.3914,6.4346,0.0000,0.0493,0.9077,0.7331,8.2459
0,5,5,3446118,5379484,1,716,fagusilv,20,0.0618,65,0,13.0149,10.6328,0.6160,0.9452,6.4346,0.0000,0.0493,0.9141,0.7023,8.2459
0,6,6,3446143,5379484,1,710,abiealba,0,0.0168,98,0,9.1516,8.2526,0.2302,0.0000,4.7713,0.0000,0.0175,0.0000,0.0000,13.8934
0,6,6,3446143,5379484,1,710,fagusilv,0,0.0187,101,0,8.0925,7.3866,0.7148,0.0000,4.7713,0.0000,0.0175,0.0000,0.0000,13.8934
0,7,7,3446168,5379484,1,706,fagusilv,250,19.7438,1,0,164.0408,42.8448,0.5748,0.9282,3.3561,0.0000,0.0203,0.9656,0.7066,0.6511
0,8,8,3446193,5379484,1,702,fagusilv,20,0.0569,227,0,12.5897,10.3638,0.2020,0.5748,9.6933,0.0000,0.0698,0.8759,0.7083,9.0022
0,9,9,3446218,5379484,1,700,fagusilv,130,11.7311,2,0,124.6461,40.5619,0.4994,0.8987,4.2083,0.0000,0.0372,0.9360,0.7091,15.3076
0,10,10,3446243,5379484,1,701,piceabie,250,9.5874,2,0,128.2535,48.7490,0.5675,0.7716,3.4330,0.0000,0.0242,0.9376,0.8144,11.5865
0,11,11,3446268,5379484,1,703,abiealba,0,0.0134,41,0,8.4463,7.7522,0.2136,0.0000,3.9242,0.0000,0.0240,0.0000,0.0000,29.4009
0,11,11,3446268,5379484,1,703,piceabie,0,0.0118,7,0,8.0618,7.4657,0.1483,0.0000,3.9242,0.0000,0.0240,0.0000,0.0000,29.4009
0,11,11,3446268,5379484,1,703,fagusilv,130,11.3630,1,0,122.6321,40.3949,0.7134,0.9683,3.9242,0.0000,0.0240,0.9591,0.7078,29.4009
0,11,11,3446268,5379484,1,703,fagusilv,0,0.0143,42,0,7.2804,6.8223,0.3198,0.0000,3.9242,0.0000,0.0240,0.0000,0.0000,29.4009
0,12,12,3446293,5379484,1,704,abiealba,50,0.0786,39,3,16.2448,13.0263,0.0415,0.0576,8.1524,0.0000,0.0676,0.8709,0.7377,4.2745
0,12,12,3446293,5379484,1,704,fagusilv,50,0.2851,43,0,23.9691,16.8866,0.4044,0.8370,8.1524,0.0000,0.0676,0.8801,0.7074,4.2745
0,13,13,3446318,5379484,1,704,abiealba,30,0.0452,78,0,13.1708,11.0141,0.0708,0.1999,7.8722,0.0000,0.0653,0.8756,0.7377,6.3326
0,13,13,3446318,5379484,1,704,fagusilv,30,0.1084,61,0,16.2709,12.6245,0.5144,0.9093,7.8722,0.0000,0.0653,0.8845,0.7074,6.3326
0,14,14,3446343,5379484,1,703,fagusilv,250,19.8006,1,0,164.2975,42.8549,0.5739,0.9279,3.3651,0.0000,0.0206,0.9651,0.7078,1.5972
0,15,15,3446368,5379484,1,702,abiealba,50,0.0750,41,4,15.9551,12.8403,0.0472,0.0667,7.9312,0.0000,0.0704,0.8652,0.7385,4.1562
0,15,15,3446368,5379484,1,702,fagusilv,50,0.2935,40,0,24.2509,17.0315,0.4236,0.8512,7.9312,0.0000,0.0704,0.8749,0.7083,4.1562
0,16,16,3446393,5379484,1,702,fagusilv,250,19.8052,1,0,164.3184,42.8557,0.5739,0.9278,3.3658,0.0000,0.0206,0.9650,0.7083,2.2349
0,17,17,3446418,5379484,1,701,abiealba,60,0.0900,61,0,17.1098,13.5774,0.0498,0.1088,9.0272,0.0000,0.0609,0.8847,0.7389,5.3253
0,17,17,3446418,5379484,1,701,fagusilv,60,0.4206,27,0,28.0699,18.9230,0.4754,0.8899,9.0272,0.0000,0.0609,0.8928,0.7087,5.3253
0,18,18,3446443,5379484,1,697,abiealba,250,12.6234,1,0,147.5057,52.1654,0.7031,0.9650,4.6140,0.0000,0.0317,0.9418,0.7404,5.3488
0,18,18,3446443,5379484,1,697,fagusilv,70,1.0117,8,0,40.3954,24.1979,0.2284,0.6126,4.6140,0.0000,0.0317,0.9458,0.7104,5.3488
0,19,19,3446468,5379484,1,694,abiealba,0,0.0168,97,0,9.1553,8.2552,0.2853,0.0000,6.8663,0.0000,0.0134,0.0000,0.0000,15.1582
0,19,19,3446468,5379484,1,694,piceabie,0,0.0165,92,0,9.0901,8.1945,0.0757,0.0000,6.8663,0.0000,0.0134,0.0000,0.0000,15.1582
0,19,19,3446468,5379484,1,694,fagusilv,0,0.0187,80,0,8.0986,7.3908,0.7662,0.0000,6.8663,0.0000,0.0134,0.0000,0.0000,15.1582
0,20,20,3446493,5379484,1,692,fagusilv,60,0.5188,39,0,30.5898,20.1004,0.2885,0.7010,7.5330,0.0000,0.0620,0.8907,0.7125,11.3395
0,21,21,3446518,5379484,1,688,fagusilv,250,19.9800,1,0,165.1070,42.8865,0.5713,0.9268,3.3933,0.0000,0.0160,0.9730,0.7142,0.6382
0,22,22,3446543,5379484,1,684,fagusilv,70,0.9338,22,0,39.0534,23.6796,0.3457,0.7578,6.4367,0.0000,0.0646,0.8858,0.7159,14.9572
0,23,23,3446568,5379484,1,678,fagusilv,250,20.1073,1,0,165.6797,42.9086,0.5694,0.9261,3.4133,0.0000,0.0209,0.9646,0.7184,0.6073
0,24,24,3446593,5379484,1,671,abiealba,30,0.0509,95,0,13.7717,11.4141,0.0945,0.2864,8.0817,0.0000,0.0693,0.8675,0.7503,5.9952
0,24,24,3446593,5379484,1,671,fagusilv,30,0.1134,45,0,16.5620,12.7969,0.6033,0.9429,8.0817,0.0000,0.0693,0.8770,0.7214,5.9952
0,25,25,3446618,5379484,1,664,abiealba,0,0.0164,114,0,9.0720,8.1964,0.2324,0.0000,5.0230,0.0000,0.0226,0.0000,0.0000,14.9932
0,25,25,3446618,5379484,1,664,fagusilv,0,0.0182,95,0,8.0149,7.3330,0.7330,0.0000,5.0230,0.0000,0.0226,0.0000,0.0000,14.9932
0,26,26,3446643,5379484,1,658,fagusilv,250,20.3189,1,0,166.6288,42.9447,0.5663,0.9249,3.4467,0.0000,0.0221,0.9624,0.7268,0.4184
0,27,27,3446668,5379484,1,653,fagusilv,130,11.1663,2,0,121.5455,40.3022,0.5141,0.9065,4.0319,0.0000,0.0344,0.9409,0.7289,16.2325
0,28,28,3446693,5379484,1,651,fagusilv,250,20.3635,1,0,166.8285,42.9522,0.5656,0.9246,3.4537,0.0000,0.0261,0.9556,0.7297,0.4396
