#header info#
48	#latitude; used for cacluating drought index in model bugmann#
1490	#meter a.s.l. #

#temperature laps rate with increasing altitude: #
-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50

#precipitation	laps	rate	with	increasing	altitude:	#
4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0

100	#meter:	corrections	(see	above)	every	x	meter.	#

#	mean	monthly	temperature	C								total	monthly	precipitation		mm		#
#	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	#
1975 -0.2 -1.2 -3.3 0.5 5.4 7.4 11.1 11.7 10.1 4.1 -1.5 -2.3 215.1 31.6 102.4 129.6 92.7 202.9 109.8 211.1 121.6 62.4 210.3 21.8
1976 -3.8 0 -3.2 1.1 6.6 11.7 12.5 9.7 6.6 6.2 -1.3 -3.8 223.8 63.8 58.7 60.2 97.4 47.2 264 110.2 139.9 86.6 125.9 168.9
1977 -3.7 -2 1.3 -0.9 4.8 8.1 10.2 9.4 6.6 7.5 -1.2 0 239.9 356.4 85.9 253.7 93.5 189 220.6 133.6 68.2 86.7 339 161.5
1978 -3.7 -4.2 -1 0 3.9 7.4 9.6 8.9 7.5 5.6 2.4 -0.3 155.9 120.8 271.1 83.9 253.7 153.4 287.9 158.8 130.4 104.1 25.3 290.4
1979 -6.4 -3.3 -1.7 -0.7 5.5 9.5 10 9 8.3 7.4 -0.7 -0.9 185.2 204 276.8 209.2 126.4 122 86.4 182.4 85.8 53.3 272.1 280.8
1980 -5 -1.1 -1.7 -1 3.8 6.7 8.3 11.2 9.9 3.2 -1.6 -4.2 168 187.5 189.2 191.5 92.7 271.1 331.2 163 50.1 196.7 139.4 205.5
1981 -4.9 -5.3 1.4 2.8 5.5 8.4 9.8 11 8.5 2.9 -0.5 -4.7 222.4 103.4 223.2 41.4 207.6 149.6 234.8 84.9 145.9 445 183.7 404.1
1982 -1.4 -2.1 -2.6 -0.4 5.9 10 12.9 10.2 11 4.4 2 -1.4 285.1 31.9 91.4 58.5 108.3 216.1 218.9 176.8 66.7 300.7 127.6 327.6
1983 -0.8 -6.2 -0.6 2.1 3.4 10.1 16.4 11.9 9 4.9 2 -0.7 227.8 75.4 79.6 158.2 224.6 78.9 52 75.2 163.9 141 223 160.6
1984 -4.4 -6.5 -3.5 0.4 2.6 7.7 11.1 11 6.1 5.8 4.9 -0.9 275.3 196 50.8 47.9 165.8 95.2 134.3 135.8 285.3 145.6 140.5 84.7
1985 -8.5 -3.7 -3.7 1.3 5.9 6.5 12.2 10.8 10.8 7.1 -4.5 0.2 207.6 89.4 136.9 214.4 207 190.2 98.8 99.6 94.4 16.8 227.3 72.6
1986 -4.7 -8.4 -1.5 -0.4 7.6 9.6 10.8 10.6 8.5 7 2.1 -2 283.9 43.1 84.8 162.7 175.5 176.3 126.7 248.4 82.7 233 148.9 194.7
1987 -6.6 -3.1 -5.4 3.3 2.7 7.3 11 10.8 10.9 7.2 0.4 1.1 129.5 123.9 195.8 90 249.9 326.3 162.6 163.8 135.1 139.5 181.6 149.5
1988 -0.7 -3.8 -3.5 2.7 7.3 8.6 10.7 11.8 7.4 6.8 -0.5 -1.2 251.4 241.9 370.2 54.3 143.9 121.7 146.5 191.8 169.7 229 109 200.8
1989 1.2 -0.1 2.2 0.3 8 8 11.7 11.3 8 6.4 1.3 1.6 48.5 159.9 155.1 175.6 127.8 81.7 207.2 131.9 104.4 167.9 46.5 182.1
1990 -0.5 1.6 1.5 0 7.9 8.2 11.5 12.7 6.7 7.2 -0.9 -4.4 40.4 220.3 53 80.3 75.8 253.1 126 119.3 183 180.6 178.1 100.3
1991 -1.1 -4.4 1.9 0.4 2.5 6.9 12.8 13.6 10.3 4.2 0.2 -1.7 90.3 24.4 90.4 97.9 89.1 209.7 122.7 20 153.4 110.1 201.7 142.6
1992 -1.1 -1.5 -0.4 1.2 8.2 8.9 12.2 14.1 8.9 1.5 2.8 0 21.3 82.9 141.2 87.5 78.2 103.5 137.3 98.5 85.6 188.2 320 73
1993 -0.6 -1 -1.2 3.8 7.5 9.6 9.9 11.2 6.9 3.9 -1.6 -2.1 108 29.4 39.1 86 96.8 188.4 199.1 99.2 182.2 124 42.8 254.4
1994 -2.2 -2.5 1.6 0.3 6.5 10 15 12.6 7.8 5.5 4.5 -1.2 112.1 72.8 100.4 135.4 223.6 134.7 165.4 107.9 235.7 164.1 54.1 251.2
1995 -4.4 -1 -3 2.1 6.1 7.3 14 11.2 5.5 9 0.4 -2.5 174.9 128 129.8 65.7 236.3 104.3 117.7 183.4 191.8 44.2 146.7 146
1996 1.6 -5.6 -3.1 2.6 5.2 9.9 10 10.1 4.7 4.4 -0.3 -1.5 10.3 44.1 34.5 35 211 111.6 191.1 150.8 71.4 186 187.5 80.7
1997 -0.2 -0.3 1.6 0.4 6.4 8.5 10.2 14.1 10.3 4.2 2.2 -1.8 25.6 161.9 53.3 107.1 102.8 264.2 168.7 70.8 64.4 135.9 85.7 216.2
1998 -1.8 1.6 -1.3 0.9 7.5 10.1 10.6 12.1 7.3 3.2 -3.7 -1.9 141.3 32.6 85 154.1 62.6 140.7 116.1 176.5 216.3 205.4 121.3 37.9
1999 -1.5 -5.6 -0.1 1.5 8.4 7.9 12 11.4 10.8 5 -1.5 -3.5 91.3 174.8 103.4 128.1 169.9 198.6 181.3 150.4 151.7 112.3 102.1 266.2
2000 -3.6 -1.7 -1.3 3.5 8.2 11.3 8.7 13.1 9.5 5.1 0.3 0.6 73.7 160.5 75.4 49.7 220.6 65.1 362.8 107.5 127.5 177.2 130.4 93.4
2001 -3 -2.6 0.6 -0.4 8.6 8.1 11.9 13 4.7 9.4 -1.5 -5.8 158.3 80.2 297.8 165 174.1 218.3 148.8 101.9 280.9 115.7 126 75.3
2002 -1 -0.9 1.1 1.8 6 12.1 11 11.2 6.7 4.8 1.7 -0.3 76.6 136.4 152.3 63.6 117 129.8 171.5 155.8 111.9 293 342.9 136.8
2003 -5 -4.4 1.6 2.2 7.8 15.5 13.1 17.2 9.1 1.7 3.5 -0.8 164.7 28.6 35.9 98 172.5 87.6 115 78.5 68.8 193 68.3 85
2004 -4.5 -2.9 -1.6 2.3 4.8 9.3 11 11.9 8.8 6.5 -0.6 -0.7 178.8 21.2 56.5 54.7 109.2 112.4 111.9 319.2 75.5 213.7 52.8 83.9
2005 -3.7 -6.8 -0.6 2.8 7 11.5 11.3 9.6 9.5 8.7 -0.3 -5.2 99.8 106.4 66.7 160.3 186 47.5 145.6 141.4 93.2 111 51.8 77.8
2006 -2.8 -4.7 -3.2 1.7 6.2 11.2 16.4 7.8 12.4 8.6 3.2 0.6 26.5 55.3 231.6 98.7 225.6 36 71.4 365.7 248.8 186 101.3 111.9
2007 -1.3 0.2 -0.5 8.2 7.9 10.2 10.6 10.9 6.5 4.2 -1.1 -1.8 180.3 127.4 97.1 24.3 288.1 259.7 240.7 143.4 125.8 15.8 96.5 169.1
2008 -0.4 0 -3.1 0.9 8.6 10.4 11.3 11.1 6.3 4.7 0.4 -2.9 83.8 63.5 121.1 177.6 138.5 114.7 116 179 134.4 169.7 39.9 54.9
2009 -4.3 -4.5 -2.5 5.2 8.6 8.8 11.4 13.6 9.8 4.4 2.3 -4.4 36.6 29.3 50.6 22.2 125.2 131.8 169.8 24.3 69.8 103.6 162 170.3
2010 -6.3 -4.9 -2.5 3 3.9 10.2 13.6 10 6.9 4.4 -0.8 -5.1 32.2 58.1 64.2 13.9 179.7 97.4 94.2 274.4 131.7 40.8 83 116.6
2011 -3.2 -0.6 0.7 6.5 8.7 9.6 9 12.8 10.9 5.7 6.2 -1.9 93.1 27.4 44.5 53 56.2 161.4 193.2 169.8 105.5 115.1 7.4 426.7
2012 -3.2 -8.1 2.9 1.4 7.5 10.3 10.7 13.5 8.6 6.2 2.2 -3.2 194.1 25.7 31.7 181.6 130.9 229.2 166.6 151.1 148.1 236.3 233.3 273.5
