row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445993,5379484,1,730,abiealba,10,0.0177,44,0,9.3288,8.3776,0.1234,0.3736,5.5264,0.0000,0.0671,0.8720,0.7277,19.4769
0,0,0,3445993,5379484,1,730,abiealba,0,0.0130,13,0,8.3494,7.6831,0.0701,0.0000,5.5264,0.0000,0.0671,0.0000,0.0000,19.4769
0,0,0,3445993,5379484,1,730,fagusilv,130,7.5290,2,0,99.8542,38.0076,0.6211,0.9471,5.5264,0.0000,0.0671,0.8811,0.6963,19.4769
0,0,0,3445993,5379484,1,730,fagusilv,10,0.0230,38,0,8.7856,7.8616,0.2042,0.5795,5.5264,0.0000,0.0671,0.8811,0.6963,19.4769
0,0,0,3445993,5379484,1,730,fagusilv,0,0.0136,11,0,7.1360,6.7211,0.0784,0.0000,5.5264,0.0000,0.0671,0.0000,0.0000,19.4769
0,1,1,3446018,5379484,1,731,fagusilv,250,19.4140,1,0,162.5459,42.7849,0.5797,0.9301,3.3043,0.0000,0.0192,0.9675,0.6958,4.6692
0,2,2,3446043,5379484,1,731,abiealba,40,0.0316,8,14,11.5228,9.9001,0.0382,0.0499,6.7418,0.0000,0.0528,0.9008,0.7273,5.9486
0,2,2,3446043,5379484,1,731,fagusilv,40,0.1919,66,0,20.4364,15.0052,0.3466,0.7869,6.7418,0.0000,0.0528,0.9078,0.6958,5.9486
0,3,3,3446068,5379484,1,728,abiealba,0,0.0120,42,0,8.1157,7.5160,0.1723,0.0000,4.1683,0.0000,0.0238,0.0000,0.0000,29.7453
0,3,3,3446068,5379484,1,728,fagusilv,110,6.8115,2,0,95.1063,37.3716,0.6451,0.8499,4.1683,0.0000,0.0238,0.9595,0.6971,29.7453
0,3,3,3446068,5379484,1,728,fagusilv,0,0.0126,35,0,6.9081,6.5608,0.2423,0.0000,4.1683,0.0000,0.0238,0.0000,0.0000,29.7453
0,4,4,3446093,5379484,1,723,abiealba,10,0.0230,137,0,10.2501,9.0225,0.1164,0.3569,7.3600,0.0000,0.0497,0.9069,0.7305,10.1179
0,4,4,3446093,5379484,1,723,fagusilv,10,0.0349,91,0,10.3696,8.9247,0.6306,0.9506,7.3600,0.0000,0.0497,0.9134,0.6993,10.1179
0,5,5,3446118,5379484,1,716,abiealba,40,0.0343,12,11,11.8818,10.1449,0.0285,0.0032,7.4544,0.0000,0.0681,0.8699,0.7331,4.6989
0,5,5,3446118,5379484,1,716,fagusilv,40,0.1936,71,0,20.5103,15.0459,0.3176,0.7555,7.4544,0.0000,0.0681,0.8792,0.7023,4.6989
0,6,6,3446143,5379484,1,710,fagusilv,130,11.6519,2,0,124.2150,40.5266,0.5014,0.8997,4.1836,0.0000,0.0401,0.9308,0.7049,18.5822
0,7,7,3446168,5379484,1,706,fagusilv,250,19.7467,1,0,164.0544,42.8453,0.5747,0.9282,3.3566,0.0000,0.0203,0.9656,0.7066,0.6102
0,8,8,3446193,5379484,1,702,abiealba,50,0.1455,108,0,20.6288,15.7538,0.1706,0.4918,10.7167,0.0000,0.0783,0.8487,0.7385,4.8912
0,9,9,3446218,5379484,1,700,fagusilv,250,19.8199,1,0,164.3847,42.8583,0.5736,0.9278,3.3681,0.0000,0.0207,0.9648,0.7091,0.8846
0,10,10,3446243,5379484,1,701,fagusilv,250,19.9333,1,0,164.8966,42.8783,0.5720,0.9271,3.3860,0.0000,0.0113,0.9809,0.7087,0.5350
0,11,11,3446268,5379484,1,703,fagusilv,250,19.8533,1,0,164.5358,42.8643,0.5732,0.9276,3.3734,0.0000,0.0115,0.9807,0.7078,0.6841
0,12,12,3446293,5379484,1,704,abiealba,30,0.0290,56,6,11.1602,9.6516,0.0398,0.0508,7.8759,0.0000,0.0745,0.8566,0.7377,7.6852
0,12,12,3446293,5379484,1,704,fagusilv,30,0.1122,85,0,16.4935,12.7564,0.3876,0.8265,7.8759,0.0000,0.0745,0.8669,0.7074,7.6852
0,13,13,3446318,5379484,1,704,abiealba,110,2.6807,8,0,69.9267,37.4191,0.4150,0.8478,5.3308,0.0000,0.0540,0.8985,0.7377,17.3751
0,14,14,3446343,5379484,1,703,fagusilv,250,19.7888,1,0,164.2444,42.8528,0.5741,0.9279,4.5965,0.0000,0.0387,0.9332,0.7078,0.5549
0,14,14,3446343,5379484,1,703,fagusilv,130,6.2201,1,0,91.0330,36.7801,0.1518,0.4356,4.5965,0.0000,0.0387,0.9332,0.7078,0.5549
0,15,15,3446368,5379484,1,702,fagusilv,250,19.8063,1,0,164.3235,42.8559,0.5739,0.9278,3.3660,0.0000,0.0206,0.9650,0.7083,0.6190
0,16,16,3446393,5379484,1,702,fagusilv,250,19.8067,1,0,164.3254,42.8560,0.5738,0.9278,4.5537,0.0000,0.0382,0.9342,0.7083,0.5641
0,16,16,3446393,5379484,1,702,fagusilv,130,5.9386,1,0,89.0358,36.4735,0.1527,0.4380,4.5537,0.0000,0.0382,0.9342,0.7083,0.5641
0,17,17,3446418,5379484,1,701,fagusilv,90,2.6538,8,0,61.3813,30.8423,0.4347,0.8650,5.0486,0.0000,0.0375,0.9354,0.7087,16.8606
0,18,18,3446443,5379484,1,697,abiealba,40,0.0241,1,20,10.4281,9.1462,0.0110,0.0000,9.0349,0.0000,0.0582,0.8901,0.7404,5.1170
0,18,18,3446443,5379484,1,697,fagusilv,40,0.1904,93,0,20.3724,14.9700,0.2265,0.6132,9.0349,0.0000,0.0582,0.8978,0.7104,5.1170
0,19,19,3446468,5379484,1,694,fagusilv,40,0.1946,90,0,20.5538,15.0698,0.2325,0.6309,8.8427,0.0000,0.0562,0.9015,0.7116,6.7616
0,20,20,3446493,5379484,1,692,abiealba,250,12.4009,2,0,146.1617,52.0204,0.4993,0.8944,4.2095,0.0000,0.0219,0.9601,0.7422,1.5650
0,21,21,3446518,5379484,1,688,abiealba,50,0.1013,18,0,17.9159,14.0853,0.1177,0.3696,6.9358,0.0000,0.0519,0.9026,0.7438,7.4725
0,21,21,3446518,5379484,1,688,abiealba,40,0.0342,11,1,11.8653,10.1337,0.0454,0.0903,6.9358,0.0000,0.0519,0.9026,0.7438,7.4725
0,21,21,3446518,5379484,1,688,abiealba,30,0.0199,5,6,9.7205,8.6528,0.0343,0.0371,6.9358,0.0000,0.0519,0.9026,0.7438,7.4725
0,21,21,3446518,5379484,1,688,abiealba,20,0.0144,2,9,8.6583,7.9031,0.0317,0.0197,6.9358,0.0000,0.0519,0.9026,0.7438,7.4725
0,21,21,3446518,5379484,1,688,fagusilv,80,1.1909,5,0,43.2865,25.2719,0.7501,0.9755,6.9358,0.0000,0.0519,0.9094,0.7142,7.4725
0,21,21,3446518,5379484,1,688,fagusilv,50,0.2897,16,0,24.1220,16.9653,0.2977,0.7379,6.9358,0.0000,0.0519,0.9094,0.7142,7.4725
0,21,21,3446518,5379484,1,688,fagusilv,40,0.0650,17,0,13.2767,10.7973,0.0639,0.1724,6.9358,0.0000,0.0519,0.9094,0.7142,7.4725
0,21,21,3446518,5379484,1,688,fagusilv,30,0.0255,8,4,9.1562,8.1131,0.0376,0.0534,6.9358,0.0000,0.0519,0.9094,0.7142,7.4725
0,21,21,3446518,5379484,1,688,fagusilv,20,0.0168,2,7,7.7561,7.1539,0.0324,0.0260,6.9358,0.0000,0.0519,0.9094,0.7142,7.4725
0,22,22,3446543,5379484,1,684,fagusilv,120,9.0639,3,0,109.4263,39.1332,0.4340,0.8616,5.0588,0.0000,0.0398,0.9313,0.7159,14.7327
0,23,23,3446568,5379484,1,678,abiealba,130,3.8260,6,0,82.3280,40.9343,0.4270,0.8560,5.1578,0.0000,0.0499,0.9065,0.7476,17.4338
0,24,24,3446593,5379484,1,671,abiealba,60,0.0942,24,3,17.4154,13.7706,0.0405,0.0633,7.6403,0.0000,0.0689,0.8682,0.7503,6.3054
0,24,24,3446593,5379484,1,671,fagusilv,60,0.4971,31,0,30.0575,19.8562,0.3833,0.8270,7.6403,0.0000,0.0689,0.8776,0.7214,6.3054
0,25,25,3446618,5379484,1,664,abiealba,250,12.5885,2,0,147.2957,52.1429,0.4951,0.8922,4.2605,0.0000,0.0388,0.9281,0.7529,1.4879
