decade, abiealba, fagusilv, elevation, area
0, 1470.77, 2001.23, 762, 0.8125
0, 2773.33, 805.333, 763, 0.375
0, 1960, 1842, 764, 0.5
0, 2115.2, 1877.33, 765, 0.9375
0, 1971.2, 1620.8, 766, 0.625
0, 2288, 1424, 767, 0.5625
0, 1741.33, 1836, 768, 0.75
0, 1700.57, 1835.43, 769, 0.4375
0, 2686, 1366, 770, 0.5
0, 2104.62, 1629.54, 771, 0.8125
0, 1841.78, 1674.67, 772, 0.5625
0, 1808, 1816.53, 773, 0.9375
0, 1588, 2110.67, 774, 0.75
0, 1954, 1972, 775, 0.5
0, 2260.57, 1373.71, 776, 0.4375
0, 2409.6, 1296, 777, 0.625
0, 1856, 1628.44, 778, 0.5625
0, 1712, 1751.11, 779, 0.5625
0, 2420, 1426.67, 780, 0.75
0, 2163.2, 1685.6, 781, 1.25
0, 2116.8, 1848, 782, 0.625
0, 1974.4, 1513.6, 783, 0.625
0, 1792, 1931, 784, 1
0, 2140.8, 1872, 785, 0.625
0, 2291.2, 1446.4, 786, 0.3125
0, 2075.08, 1932.31, 787, 0.8125
0, 2131.2, 1550.4, 788, 0.625
0, 1729.6, 2078.4, 789, 0.625
0, 2102.15, 1885.54, 790, 0.8125
0, 2091.64, 1850.18, 791, 0.6875
0, 2221.71, 1729.14, 792, 0.875
0, 1841.78, 1896, 793, 1.125
0, 1749.33, 2110.67, 794, 0.75
0, 1752.62, 2183.38, 795, 0.8125
0, 1860.36, 2081.45, 796, 0.6875
0, 1664, 1610.67, 797, 0.375
0, 2310.4, 1528.53, 798, 0.9375
0, 1733.33, 2088.89, 799, 0.5625
0, 1873.14, 1934.86, 800, 0.875
0, 2212.57, 1633.14, 801, 0.875
0, 2600, 1522.67, 802, 0.375
0, 1704, 1811.2, 803, 0.625
0, 1880, 2030.67, 804, 0.75
0, 1733.33, 2120.89, 805, 0.5625
0, 2018.13, 1913.6, 806, 0.9375
0, 1043.69, 1865.85, 807, 0.8125
0, 1758.4, 2360, 808, 0.625
0, 2291.2, 1576, 809, 0.625
0, 1958.67, 1761.33, 810, 0.75
0, 1340.31, 2190.77, 811, 0.8125
0, 2013.71, 1865.14, 812, 0.4375
